available_liquidity,sp_score,market_cap,total_debt,ltm_capex,ltm_ebitda,ltm_fcf,ltm_revenue
2903,2,26000.78541,9375,-194,2935,1182,13544
2901.000064,1,16852.22093,1365,-599,2435,1706,39488
2878.569984,3,25374.35955,4540.627,-174.334,1906.278944,1549.5,7214.974
2858.36,3,27004.78669,12358.245,-2708.426,2114.535936,-1067.917,4296.409
2855.132992,3,27064.94054,7435.402,-580.239,2911.358016,1388.697,54597.985
2854.444032,5,22433.59949,2318.898,-180.36,1738.431968,1232.983,11835.736
2851.000064,2,37446.7584,4002,-2014,4725.000064,2288,20482
2835,5,44192.10035,7572,-766,4058,2349,18209
2823.985,4,23316.47181,14842.247,-3372.05,3696.158976,-391.659,11281.069
2810.808,2,20196.95206,9440.923,-540.96,1685.188032,850.266,9896.086
2783.000064,3,35418.9271,8545,-404,8019.000192,4340,198533
2782,3,14294.59251,7213,-2604,1562,-1075,2609
2749,5,88438.81677,15007,-3504,9433.999872,3955,20724
2741.999872,2,11084.61875,2133.7,-197.5,1123.6,1281.4,5113.2
2738.8,1,21016.60467,15539.3,-397,2464.600064,2022.6,11605.1
2734.563008,5,21983.24429,3014.244,-183.839,1604.943008,1093.798,11490.224
2700.999936,1,6808.770048,6871,-560,2300,1467,25345
2675.299968,1,8326.127104,3818.2,-831.3,871.9,314.9,7066.9
2639.000064,6,35058.09818,2241.5,-506.9,2052.5,1701.6,11576.3
2560.4563,4,38494.8265,6687,-719.3,2771.299968,1173.6,13217
2539.500032,2,26715.81798,11241.4,-547,1992.8,1095.4,7757.2
2532.000064,2,16638.40461,10154,-2362,3053.000128,69,11549
2531.000064,5,23768.05786,3857,-126,1518,979,3523
2498,2,24010.07821,11314,-1413,2710,1078,21480
2459.699968,1,10154.13555,1942.2,-561,1855.3,1048.6,18893.2
2440.8,5,21559.31648,1964.9,-131.7,1206.3,1028.1,6057.2
2430,4,40546.65626,4807,-266,3156,1923,13378
2417.454,3,8066.163712,5066.368,-479.952,656.739008,132.24,1167.178
2414,1,13400.94874,22552,-3051,-6530,467,14245
2412.199936,3,126564.098,25955.7,-1857,9456.300032,4027.5,24393.9
